5 Q0 CACM-2065 1  7.386891655844005 TF-IDF-stem 
5 Q0 CACM-3165 58  1.2875103385718627 TF-IDF-stem 
5 Q0 CACM-3120 59  1.2710322960173923 TF-IDF-stem 
5 Q0 CACM-1194 60  1.2638885158880118 TF-IDF-stem 
5 Q0 CACM-0527 61  1.260046934314412 TF-IDF-stem 
5 Q0 CACM-0670 62  1.260046934314412 TF-IDF-stem 
5 Q0 CACM-1482 63  1.260046934314412 TF-IDF-stem 
5 Q0 CACM-1770 64  1.260046934314412 TF-IDF-stem 
5 Q0 CACM-1829 65  1.260046934314412 TF-IDF-stem 
5 Q0 CACM-2113 66  1.260046934314412 TF-IDF-stem 
5 Q0 CACM-2219 67  1.260046934314412 TF-IDF-stem 
5 Q0 CACM-2309 68  1.260046934314412 TF-IDF-stem 
5 Q0 CACM-2370 69  1.260046934314412 TF-IDF-stem 
5 Q0 CACM-2421 70  1.260046934314412 TF-IDF-stem 
5 Q0 CACM-3039 71  1.260046934314412 TF-IDF-stem 
5 Q0 CACM-3073 72  1.260046934314412 TF-IDF-stem 
5 Q0 CACM-3197 73  1.260046934314412 TF-IDF-stem 
5 Q0 CACM-1957 74  1.134042240882971 TF-IDF-stem 
5 Q0 CACM-2178 75  1.134042240882971 TF-IDF-stem 
5 Q0 CACM-3137 76  1.134042240882971 TF-IDF-stem 
5 Q0 CACM-1540 77  1.11744973168005 TF-IDF-stem 
5 Q0 CACM-2882 78  1.11744973168005 TF-IDF-stem 
5 Q0 CACM-1930 79  1.086656984271944 TF-IDF-stem 
5 Q0 CACM-2019 80  1.086656984271944 TF-IDF-stem 
5 Q0 CACM-2409 81  1.086656984271944 TF-IDF-stem 
5 Q0 CACM-2470 82  1.086656984271944 TF-IDF-stem 
5 Q0 CACM-2499 83  1.086656984271944 TF-IDF-stem 
5 Q0 CACM-2682 84  1.086656984271944 TF-IDF-stem 
5 Q0 CACM-2836 85  1.086656984271944 TF-IDF-stem 
5 Q0 CACM-3105 86  1.086656984271944 TF-IDF-stem 
5 Q0 CACM-1856 87  1.0800402294123532 TF-IDF-stem 
5 Q0 CACM-1846 88  1.0500391119286767 TF-IDF-stem 
5 Q0 CACM-1180 89  1.0300082708574902 TF-IDF-stem 
5 Q0 CACM-3138 90  1.0300082708574902 TF-IDF-stem 
5 Q0 CACM-0243 91  0.945035200735809 TF-IDF-stem 
5 Q0 CACM-0252 92  0.945035200735809 TF-IDF-stem 
5 Q0 CACM-0409 93  0.945035200735809 TF-IDF-stem 
5 Q0 CACM-0414 94  0.945035200735809 TF-IDF-stem 
5 Q0 CACM-0493 95  0.945035200735809 TF-IDF-stem 
5 Q0 CACM-0494 96  0.945035200735809 TF-IDF-stem 
5 Q0 CACM-0690 97  0.945035200735809 TF-IDF-stem 
5 Q0 CACM-0696 98  0.945035200735809 TF-IDF-stem 
5 Q0 CACM-0759 99  0.945035200735809 TF-IDF-stem 
5 Q0 CACM-0850 100  0.945035200735809 TF-IDF-stem 
