4 Q0 CACM-2849 1  12.756681493597261 TF-IDF-stem 
4 Q0 CACM-2254 69  2.4912179596564963 TF-IDF-stem 
4 Q0 CACM-2320 70  2.4912179596564963 TF-IDF-stem 
4 Q0 CACM-2738 71  2.4912179596564963 TF-IDF-stem 
4 Q0 CACM-3131 72  2.4868394442081145 TF-IDF-stem 
4 Q0 CACM-2266 73  2.4737015486517273 TF-IDF-stem 
4 Q0 CACM-2483 74  2.4721468036780467 TF-IDF-stem 
4 Q0 CACM-1652 75  2.469167674866477 TF-IDF-stem 
4 Q0 CACM-1409 76  2.44112051837632 TF-IDF-stem 
4 Q0 CACM-3004 77  2.440365399195117 TF-IDF-stem 
4 Q0 CACM-3030 78  2.440365399195117 TF-IDF-stem 
4 Q0 CACM-2200 79  2.433874130585357 TF-IDF-stem 
4 Q0 CACM-1135 80  2.4337076173932988 TF-IDF-stem 
4 Q0 CACM-2216 81  2.421468470678612 TF-IDF-stem 
4 Q0 CACM-2187 82  2.418243953797077 TF-IDF-stem 
4 Q0 CACM-2178 83  2.4177766501667506 TF-IDF-stem 
4 Q0 CACM-1752 84  2.411693484659547 TF-IDF-stem 
4 Q0 CACM-2821 85  2.4027174841478396 TF-IDF-stem 
4 Q0 CACM-1658 86  2.38368978188132 TF-IDF-stem 
4 Q0 CACM-1854 87  2.38066719935782 TF-IDF-stem 
4 Q0 CACM-0695 88  2.354115587313573 TF-IDF-stem 
4 Q0 CACM-3086 89  2.352663496579593 TF-IDF-stem 
4 Q0 CACM-1827 90  2.334914070199333 TF-IDF-stem 
4 Q0 CACM-2709 91  2.321746591648638 TF-IDF-stem 
4 Q0 CACM-3163 92  2.3187050088950363 TF-IDF-stem 
4 Q0 CACM-3071 93  2.3122137402852765 TF-IDF-stem 
4 Q0 CACM-2091 94  2.3076798665000267 TF-IDF-stem 
4 Q0 CACM-2186 95  2.3076798665000267 TF-IDF-stem 
4 Q0 CACM-3098 96  2.303170989915854 TF-IDF-stem 
4 Q0 CACM-2631 97  2.289838727261401 TF-IDF-stem 
4 Q0 CACM-0322 98  2.2833210844732466 TF-IDF-stem 
4 Q0 CACM-2899 99  2.2833210844732466 TF-IDF-stem 
4 Q0 CACM-2153 100  2.2434936664068763 TF-IDF-stem 
