1 Q0 CACM-3127 1  12.614689225737347 TF-IDF-stem 
1 Q0 CACM-2955 39  2.338334878558886 TF-IDF-stem 
1 Q0 CACM-1476 40  2.336926542317329 TF-IDF-stem 
1 Q0 CACM-2667 41  2.336926542317329 TF-IDF-stem 
1 Q0 CACM-2849 42  2.336926542317329 TF-IDF-stem 
1 Q0 CACM-3141 43  2.336926542317329 TF-IDF-stem 
1 Q0 CACM-1534 44  2.284681877767709 TF-IDF-stem 
1 Q0 CACM-1464 45  2.2498521014012955 TF-IDF-stem 
1 Q0 CACM-1472 46  2.2498521014012955 TF-IDF-stem 
1 Q0 CACM-2297 47  2.2498521014012955 TF-IDF-stem 
1 Q0 CACM-1829 48  2.165124887554524 TF-IDF-stem 
1 Q0 CACM-3015 49  2.165124887554524 TF-IDF-stem 
1 Q0 CACM-0696 50  2.1427694705582003 TF-IDF-stem 
1 Q0 CACM-3049 51  2.1427694705582003 TF-IDF-stem 
1 Q0 CACM-2314 52  2.078519892052343 TF-IDF-stem 
1 Q0 CACM-0759 53  2.075703219569229 TF-IDF-stem 
1 Q0 CACM-2527 54  2.075703219569229 TF-IDF-stem 
1 Q0 CACM-2599 55  2.075703219569229 TF-IDF-stem 
1 Q0 CACM-2723 56  2.075703219569229 TF-IDF-stem 
1 Q0 CACM-3163 57  2.075703219569229 TF-IDF-stem 
1 Q0 CACM-1108 58  1.9909760057224575 TF-IDF-stem 
1 Q0 CACM-1589 59  1.9909760057224575 TF-IDF-stem 
1 Q0 CACM-2095 60  1.9909760057224575 TF-IDF-stem 
1 Q0 CACM-2625 61  1.9909760057224575 TF-IDF-stem 
1 Q0 CACM-1393 62  1.9740305629531032 TF-IDF-stem 
1 Q0 CACM-2380 63  1.9740305629531032 TF-IDF-stem 
1 Q0 CACM-2741 64  1.9740305629531032 TF-IDF-stem 
1 Q0 CACM-1030 65  1.9486123987990718 TF-IDF-stem 
1 Q0 CACM-1605 66  1.9486123987990718 TF-IDF-stem 
1 Q0 CACM-1682 67  1.9486123987990718 TF-IDF-stem 
1 Q0 CACM-2320 68  1.8815461478101 TF-IDF-stem 
1 Q0 CACM-1924 69  1.8695412338538633 TF-IDF-stem 
1 Q0 CACM-2188 70  1.855821332189592 TF-IDF-stem 
1 Q0 CACM-2345 71  1.8187049055458 TF-IDF-stem 
1 Q0 CACM-2113 72  1.8168271238903906 TF-IDF-stem 
1 Q0 CACM-2399 73  1.8168271238903906 TF-IDF-stem 
1 Q0 CACM-1462 74  1.774463516967005 TF-IDF-stem 
1 Q0 CACM-1482 75  1.7320999100436192 TF-IDF-stem 
1 Q0 CACM-2321 76  1.7320999100436192 TF-IDF-stem 
1 Q0 CACM-0103 77  1.7297526829743575 TF-IDF-stem 
1 Q0 CACM-1912 78  1.7142155764465603 TF-IDF-stem 
1 Q0 CACM-2138 79  1.7142155764465603 TF-IDF-stem 
1 Q0 CACM-3026 80  1.7142155764465603 TF-IDF-stem 
1 Q0 CACM-2840 81  1.7065508620478205 TF-IDF-stem 
1 Q0 CACM-0585 82  1.6873890760509718 TF-IDF-stem 
1 Q0 CACM-1010 83  1.6873890760509718 TF-IDF-stem 
1 Q0 CACM-1247 84  1.6873890760509718 TF-IDF-stem 
1 Q0 CACM-1255 85  1.6873890760509718 TF-IDF-stem 
1 Q0 CACM-1517 86  1.6873890760509718 TF-IDF-stem 
1 Q0 CACM-2536 87  1.6873890760509718 TF-IDF-stem 
1 Q0 CACM-2344 88  1.6702391989706329 TF-IDF-stem 
1 Q0 CACM-3090 89  1.6450254691275858 TF-IDF-stem 
1 Q0 CACM-2920 90  1.6319156269769348 TF-IDF-stem 
1 Q0 CACM-2985 91  1.5588899190392573 TF-IDF-stem 
1 Q0 CACM-1827 92  1.5579510282115525 TF-IDF-stem 
1 Q0 CACM-1854 93  1.5579510282115525 TF-IDF-stem 
1 Q0 CACM-2036 94  1.5579510282115525 TF-IDF-stem 
1 Q0 CACM-2526 95  1.5579510282115525 TF-IDF-stem 
1 Q0 CACM-2904 96  1.5567774146769215 TF-IDF-stem 
1 Q0 CACM-2541 97  1.5052369182480803 TF-IDF-stem 
1 Q0 CACM-0252 98  1.4932320042918432 TF-IDF-stem 
1 Q0 CACM-1543 99  1.4932320042918432 TF-IDF-stem 
1 Q0 CACM-3131 100  1.4932320042918432 TF-IDF-stem 
