2 Q0 CACM-0243 1  11.745299835038544 TF-IDF-stem 
2 Q0 CACM-3113 64  2.538545264865207 TF-IDF-stem 
2 Q0 CACM-1770 65  2.427165329904521 TF-IDF-stem 
2 Q0 CACM-3112 66  2.421268757726447 TF-IDF-stem 
2 Q0 CACM-1564 67  2.393551473384976 TF-IDF-stem 
2 Q0 CACM-1807 68  2.3907107186285743 TF-IDF-stem 
2 Q0 CACM-2464 69  2.345686237733886 TF-IDF-stem 
2 Q0 CACM-2863 70  2.3419750510595074 TF-IDF-stem 
2 Q0 CACM-1145 71  2.340503324560973 TF-IDF-stem 
2 Q0 CACM-2885 72  2.316606614193657 TF-IDF-stem 
2 Q0 CACM-2904 73  2.291349629326415 TF-IDF-stem 
2 Q0 CACM-0106 74  2.2584473671131997 TF-IDF-stem 
2 Q0 CACM-1610 75  2.2584473671131997 TF-IDF-stem 
2 Q0 CACM-2547 76  2.2584473671131997 TF-IDF-stem 
2 Q0 CACM-3095 77  2.2584473671131997 TF-IDF-stem 
2 Q0 CACM-0824 78  2.206654248926996 TF-IDF-stem 
2 Q0 CACM-3005 79  2.2049851112896777 TF-IDF-stem 
2 Q0 CACM-1352 80  2.1763914096654267 TF-IDF-stem 
2 Q0 CACM-3064 81  2.1763914096654267 TF-IDF-stem 
2 Q0 CACM-2344 82  2.1743531969023553 TF-IDF-stem 
2 Q0 CACM-2314 83  2.1526859075683173 TF-IDF-stem 
2 Q0 CACM-1552 84  2.1021407342286516 TF-IDF-stem 
2 Q0 CACM-2337 85  2.0855856667093655 TF-IDF-stem 
2 Q0 CACM-2750 86  2.0855856667093655 TF-IDF-stem 
2 Q0 CACM-1886 87  2.0751883905615442 TF-IDF-stem 
2 Q0 CACM-2753 88  2.0268266291683386 TF-IDF-stem 
2 Q0 CACM-3110 89  1.983985858869515 TF-IDF-stem 
2 Q0 CACM-0940 90  1.9828048926748345 TF-IDF-stem 
2 Q0 CACM-3004 91  1.9769124498944235 TF-IDF-stem 
2 Q0 CACM-3074 92  1.9769099722558254 TF-IDF-stem 
2 Q0 CACM-3114 93  1.9713690637841996 TF-IDF-stem 
2 Q0 CACM-3072 94  1.954772522127113 TF-IDF-stem 
2 Q0 CACM-2881 95  1.945909142460314 TF-IDF-stem 
2 Q0 CACM-1083 96  1.945370462181135 TF-IDF-stem 
2 Q0 CACM-1722 97  1.945370462181135 TF-IDF-stem 
2 Q0 CACM-2169 98  1.945370462181135 TF-IDF-stem 
2 Q0 CACM-3103 99  1.895315605195249 TF-IDF-stem 
2 Q0 CACM-1247 100  1.8784614295923898 TF-IDF-stem 
