1 Q0 CACM-3127 1  24.786886609272734 SMQ-stem 
1 Q0 CACM-2320 71  11.397503081353117 SMQ-stem 
1 Q0 CACM-2868 72  11.393216382629955 SMQ-stem 
1 Q0 CACM-0252 73  11.392482131112276 SMQ-stem 
1 Q0 CACM-1543 74  11.392482131112276 SMQ-stem 
1 Q0 CACM-3131 75  11.392482131112276 SMQ-stem 
1 Q0 CACM-2064 76  11.373225867757784 SMQ-stem 
1 Q0 CACM-2218 77  11.275696465527936 SMQ-stem 
1 Q0 CACM-2582 78  11.275696465527936 SMQ-stem 
1 Q0 CACM-3090 79  11.275380758368337 SMQ-stem 
1 Q0 CACM-1519 80  11.254802233796333 SMQ-stem 
1 Q0 CACM-1892 81  11.234441906175956 SMQ-stem 
1 Q0 CACM-3050 82  11.234441906175956 SMQ-stem 
1 Q0 CACM-1930 83  11.213939746347055 SMQ-stem 
1 Q0 CACM-0972 84  11.170598999211313 SMQ-stem 
1 Q0 CACM-1728 85  11.170598999211313 SMQ-stem 
1 Q0 CACM-2378 86  11.170598999211313 SMQ-stem 
1 Q0 CACM-1264 87  11.101389409577791 SMQ-stem 
1 Q0 CACM-1657 88  11.09359590954312 SMQ-stem 
1 Q0 CACM-1408 89  10.992564695429142 SMQ-stem 
1 Q0 CACM-1168 90  10.988803333605862 SMQ-stem 
1 Q0 CACM-2542 91  10.988803333605862 SMQ-stem 
1 Q0 CACM-3002 92  10.988803333605862 SMQ-stem 
1 Q0 CACM-2867 93  10.968681614076193 SMQ-stem 
1 Q0 CACM-3089 94  10.968313753013117 SMQ-stem 
1 Q0 CACM-2541 95  10.954138652510697 SMQ-stem 
1 Q0 CACM-2597 96  10.948793089928863 SMQ-stem 
1 Q0 CACM-0695 97  10.872904854587048 SMQ-stem 
1 Q0 CACM-0698 98  10.872904854587048 SMQ-stem 
1 Q0 CACM-2499 99  10.872904854587048 SMQ-stem 
1 Q0 CACM-2535 100  10.872904854587048 SMQ-stem 
