5 Q0 CACM-2535 1  16.074044402312076 SMQ-stem 
5 Q0 CACM-1748 59  7.77458621463862 SMQ-stem 
5 Q0 CACM-2210 60  7.69255720605288 SMQ-stem 
5 Q0 CACM-2263 61  7.69255720605288 SMQ-stem 
5 Q0 CACM-1272 62  7.551547728139821 SMQ-stem 
5 Q0 CACM-2233 63  7.551547728139821 SMQ-stem 
5 Q0 CACM-2307 64  7.551547728139821 SMQ-stem 
5 Q0 CACM-1930 65  7.510326887107766 SMQ-stem 
5 Q0 CACM-2019 66  7.510326887107766 SMQ-stem 
5 Q0 CACM-2409 67  7.510326887107766 SMQ-stem 
5 Q0 CACM-2470 68  7.510326887107766 SMQ-stem 
5 Q0 CACM-2499 69  7.510326887107766 SMQ-stem 
5 Q0 CACM-2682 70  7.510326887107766 SMQ-stem 
5 Q0 CACM-2836 71  7.510326887107766 SMQ-stem 
5 Q0 CACM-3105 72  7.510326887107766 SMQ-stem 
5 Q0 CACM-0111 73  7.356267436805763 SMQ-stem 
5 Q0 CACM-1652 74  7.264040739187189 SMQ-stem 
5 Q0 CACM-2050 75  7.264040739187189 SMQ-stem 
5 Q0 CACM-2051 76  7.264040739187189 SMQ-stem 
5 Q0 CACM-2723 77  7.264040739187189 SMQ-stem 
5 Q0 CACM-3078 78  7.264040739187189 SMQ-stem 
5 Q0 CACM-3141 79  7.264040739187189 SMQ-stem 
5 Q0 CACM-0293 80  7.222827265384429 SMQ-stem 
5 Q0 CACM-1116 81  7.222827265384429 SMQ-stem 
5 Q0 CACM-1143 82  7.222827265384429 SMQ-stem 
5 Q0 CACM-1535 83  7.222827265384429 SMQ-stem 
5 Q0 CACM-2268 84  7.222827265384429 SMQ-stem 
5 Q0 CACM-2997 85  7.222827265384429 SMQ-stem 
5 Q0 CACM-1135 86  7.041072240723264 SMQ-stem 
5 Q0 CACM-0298 87  6.999866131516466 SMQ-stem 
5 Q0 CACM-1028 88  6.999866131516466 SMQ-stem 
5 Q0 CACM-1423 89  6.999866131516466 SMQ-stem 
5 Q0 CACM-1441 90  6.999866131516466 SMQ-stem 
5 Q0 CACM-1453 91  6.999866131516466 SMQ-stem 
5 Q0 CACM-1886 92  6.999866131516466 SMQ-stem 
5 Q0 CACM-2174 93  6.999866131516466 SMQ-stem 
5 Q0 CACM-2203 94  6.999866131516466 SMQ-stem 
5 Q0 CACM-2251 95  6.999866131516466 SMQ-stem 
5 Q0 CACM-2537 96  6.999866131516466 SMQ-stem 
5 Q0 CACM-2546 97  6.999866131516466 SMQ-stem 
5 Q0 CACM-2726 98  6.999866131516466 SMQ-stem 
5 Q0 CACM-2985 99  6.999866131516466 SMQ-stem 
5 Q0 CACM-1719 100  6.858925706141457 SMQ-stem 
