2 Q0 CACM-2716 1  29.169471274063184 SMQ-stem 
2 Q0 CACM-3072 53  17.492238565034693 SMQ-stem 
2 Q0 CACM-2138 54  17.41706274109393 SMQ-stem 
2 Q0 CACM-2801 55  17.41292632148989 SMQ-stem 
2 Q0 CACM-2904 56  17.345120911436936 SMQ-stem 
2 Q0 CACM-1235 57  17.246557507144594 SMQ-stem 
2 Q0 CACM-1135 58  17.13119987136443 SMQ-stem 
2 Q0 CACM-2968 59  17.13119987136443 SMQ-stem 
2 Q0 CACM-1651 60  17.108905304130996 SMQ-stem 
2 Q0 CACM-3041 61  17.045094041883424 SMQ-stem 
2 Q0 CACM-1066 62  17.04450125707693 SMQ-stem 
2 Q0 CACM-2081 63  16.874246566554678 SMQ-stem 
2 Q0 CACM-1389 64  16.71124239486881 SMQ-stem 
2 Q0 CACM-2651 65  16.71124239486881 SMQ-stem 
2 Q0 CACM-2858 66  16.680719025535648 SMQ-stem 
2 Q0 CACM-3033 67  16.582057305733063 SMQ-stem 
2 Q0 CACM-3001 68  16.57369337392972 SMQ-stem 
2 Q0 CACM-2816 69  16.502246638818423 SMQ-stem 
2 Q0 CACM-0867 70  16.492899603987148 SMQ-stem 
2 Q0 CACM-1195 71  16.480562893863578 SMQ-stem 
2 Q0 CACM-3067 72  16.47707520368823 SMQ-stem 
2 Q0 CACM-2623 73  16.445296586230373 SMQ-stem 
2 Q0 CACM-2897 74  16.366618786278444 SMQ-stem 
2 Q0 CACM-1665 75  16.158703298431284 SMQ-stem 
2 Q0 CACM-2495 76  16.0858177168869 SMQ-stem 
2 Q0 CACM-2726 77  15.988604100815456 SMQ-stem 
2 Q0 CACM-1172 78  15.858922576501417 SMQ-stem 
2 Q0 CACM-2374 79  15.858922576501417 SMQ-stem 
2 Q0 CACM-3057 80  15.80055019964253 SMQ-stem 
2 Q0 CACM-0405 81  15.73932434541781 SMQ-stem 
2 Q0 CACM-0124 82  15.726087548781337 SMQ-stem 
2 Q0 CACM-2064 83  15.726087548781337 SMQ-stem 
2 Q0 CACM-2787 84  15.726087548781337 SMQ-stem 
2 Q0 CACM-2423 85  15.702127670084192 SMQ-stem 
2 Q0 CACM-2433 86  15.66771517192245 SMQ-stem 
2 Q0 CACM-1738 87  15.661669805569499 SMQ-stem 
2 Q0 CACM-1694 88  15.475332014686783 SMQ-stem 
2 Q0 CACM-3027 89  15.347576024541892 SMQ-stem 
2 Q0 CACM-3080 90  15.317504623648233 SMQ-stem 
2 Q0 CACM-2720 91  15.265718904118337 SMQ-stem 
2 Q0 CACM-3171 92  15.199584404238605 SMQ-stem 
2 Q0 CACM-2220 93  14.936836236450137 SMQ-stem 
2 Q0 CACM-2233 94  14.834343932387887 SMQ-stem 
2 Q0 CACM-2833 95  14.803455009921473 SMQ-stem 
2 Q0 CACM-0243 96  14.794613785343252 SMQ-stem 
2 Q0 CACM-1234 97  14.665236031019617 SMQ-stem 
2 Q0 CACM-2202 98  14.652534217842067 SMQ-stem 
2 Q0 CACM-1088 99  14.606933712217687 SMQ-stem 
2 Q0 CACM-2929 100  14.606933712217687 SMQ-stem 
