3 Q0 CACM-2266 1  15.350208310081129 SMQ-stem 
3 Q0 CACM-2376 73  6.422944605344454 SMQ-stem 
3 Q0 CACM-2514 74  6.422944605344454 SMQ-stem 
3 Q0 CACM-3044 75  6.422944605344454 SMQ-stem 
3 Q0 CACM-1386 76  6.395315449861605 SMQ-stem 
3 Q0 CACM-1594 77  6.395315449861605 SMQ-stem 
3 Q0 CACM-1539 78  6.2901404013571804 SMQ-stem 
3 Q0 CACM-1852 79  6.2901404013571804 SMQ-stem 
3 Q0 CACM-2177 80  6.2901404013571804 SMQ-stem 
3 Q0 CACM-2701 81  6.2901404013571804 SMQ-stem 
3 Q0 CACM-2751 82  6.2901404013571804 SMQ-stem 
3 Q0 CACM-2754 83  6.2901404013571804 SMQ-stem 
3 Q0 CACM-3094 84  6.2901404013571804 SMQ-stem 
3 Q0 CACM-3095 85  6.2901404013571804 SMQ-stem 
3 Q0 CACM-2727 86  6.289645166893454 SMQ-stem 
3 Q0 CACM-2898 87  6.289645166893454 SMQ-stem 
3 Q0 CACM-2967 88  6.289645166893454 SMQ-stem 
3 Q0 CACM-1658 89  6.172589151280734 SMQ-stem 
3 Q0 CACM-0141 90  6.172094031620332 SMQ-stem 
3 Q0 CACM-1471 91  6.172094031620332 SMQ-stem 
3 Q0 CACM-1536 92  6.172094031620332 SMQ-stem 
3 Q0 CACM-2952 93  6.172094031620332 SMQ-stem 
3 Q0 CACM-2388 94  6.108189675707721 SMQ-stem 
3 Q0 CACM-2855 95  6.108189675707721 SMQ-stem 
3 Q0 CACM-1924 96  6.06746036749074 SMQ-stem 
3 Q0 CACM-0392 97  6.066965362580446 SMQ-stem 
3 Q0 CACM-1302 98  6.066965362580446 SMQ-stem 
3 Q0 CACM-1325 99  6.066965362580446 SMQ-stem 
3 Q0 CACM-1367 100  6.066965362580446 SMQ-stem 
